Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
rudy,2,0,0,0.0024239836021246563
pukim,2,0.0033655766941117797,0.0012752778084321116,0
padayung,1,0,0.001201298560885756,0
kanaug,1,0,0.0011590247051449815,0
saktu,1,0.0036563679359712864,0,0
abril,1,0,0.001221026360231451,0
gtanaw,1,0,0.001201298560885756,0
ngaging,2,0,0,0.0024205416325061863
abrih,1,0.0036563679359712864,0,0
kabig,1,0,0.0013153235042566058,0
kalimang,1,0,0.0011125234638301295,0
kaung,2,0,0.0015228587954751378,0
aktuwal,1,0,0,0.00196023606316433
sidinti,1,0,0.0010817595153322398,0
amah,1,0,0,0.0019502241321880723
kawat,1,0,0.0013140288428611549,0
kanatu,1,0.003864075965870934,0,0
partidu,1,0,0.0011590247051449815,0
hirsisyu,1,0,0.001221026360231451,0
tuslub,1,0,0.001201298560885756,0
tibuuk,4,0,0.0017378060613800457,0.0024721711767832304
gpapatigay,1,0,0.0012451381149873003,0
palagput,2,0.0035317431180314977,0.001124579341208054,0
balibar,1,0,0.0012451381149873003,0
adbiyintu,1,0,0.0011125234638301295,0
gbuut,1,0,0.0014380321530340938,0
gubiyirnu,1,0.0033264787120130227,0,0
kahinay,1,0,0.0011848587280976772,0
dinr,1,0,0,0.003482049571555508
tulu,1,0,0,0.0020553494074387786
lingkud,1,0,0,0.0021980194238504515
ritiradung,1,0,0.0013140288428611549,0
kaprisintar,1,0,0,0.001925649392519076
papil,1,0,0.0013775840916221654,0
bahin,1,0.003864075965870934,0,0
buhat,8,0.004694908085469523,0.0015089813772477473,0.0024895634513606595
daang,2,0.003745385663071135,0.001221026360231451,0
trapiku,2,0.0033655766941117797,0,0.0023406894402621245
pirsunal,1,0.003587131926004737,0,0
ngriklamu,1,0,0,0.002033400174144675
dangat,1,0,0.001365696888766546,0
saksi,2,0,0,0.002830136017104068
pakyas,2,0,0.0011709481003539179,0.0020812894104227193
kinsa,7,0.004025115787019871,0.0018777133945795397,0.002830136017104068
balaud,6,0.004300055728490239,0.0013807232809011011,0.0025223843371732033
risulta,1,0,0.0011486910959639031,0
andam,2,0,0.0012455946210188722,0.0021314161845547405
andal,1,0,0.0010815226362868946,0
ugdaw,1,0,0,0.0021504627517132274
sumbag,1,0,0.0012752778084321116,0
lagru,1,0,0.0010787332722674795,0
mutuu,2,0,0,0.002573135618925005
castillu,1,0,0.0010815226362868946,0
kaub,1,0,0.0012374977700496564,0
piru,5,0,0.0015228587954751378,0.002362161976725678
camumut,2,0,0.0021077309798182733,0
tirisi,1,0,0.0013140288428611549,0
guzm,1,0,0.0010718348776796339,0
dumingu,1,0,0.0011125234638301295,0
larribirt,1,0,0.0010718348776796339,0
mutum,2,0,0,0.0029746987410797913
kadugang,1,0.0033264787120130227,0,0
balati,1,0,0.0013140288428611549,0
carma,1,0,0.0010718348776796339,0
tirisa,4,0,0.001986855214492738,0
sirinu,3,0.0035317431180314977,0.001510999635976936,0
panimalay,2,0,0.0018445384968638623,0
katuman,1,0,0.001546535049435415,0
kasugud,1,0.0035317431180314977,0,0
kita,4,0.003864075965870934,0.0013775840916221654,0.002228592706727694
zsai,1,0,0.0010718348776796339,0
lidiratu,1,0.003587131926004737,0,0
dunggu,1,0,0,0.0022591637165983117
panguwarta,1,0.0035317431180314977,0,0
butang,2,0,0.001221026360231451,0.0020812894104227193
kapakurat,1,0,0.0013140288428611549,0
pitsa,1,0,0.0011590247051449815,0
hulagway,2,0,0.0014380321530340938,0.0020812894104227193
piniritu,1,0,0.0011486910959639031,0
rudrigu,3,0,0.001263439681451973,0.0019188824352189176
kabalu,1,0,0,0.002454825453391463
tubig,2,0,0.0010815226362868946,0.002033400174144675
paambit,1,0,0.0013140288428611549,0
dili,27,0.0053689319486562755,0.003229444306402962,0.0056984315008053845
kaniadtu,2,0,0.0014972342601751887,0
pabarug,3,0,0.0018307406619370273,0
kadaut,1,0,0.0012752778084321116,0
trampas,1,0,0,0.0026260294730854703
trabahua,1,0,0.0017273732101042842,0
kasu,4,0.0038755899672881355,0.0012127463143016542,0
diusnung,1,0,0.001221026360231451,0
dali,1,0,0,0.0026260294730854703
facibuuk,3,0,0.0015635638881374178,0
